latitude,longitude,altitude,geometry
55.730015,37.676843,,Point
55.730015,37.676843,,Point
55.412125,37.829413,,Point
55.715951,37.683149,,Point
55.87387,37.625603,,Point
55.579775,37.904189,,Point
55.92722,37.728424,,Point
54.930026,37.404438,,Point
56.012214,37.459253,,Point
55.55886,37.716378,,Point
55.67693,37.597693,,Point
55.615177,37.582826,,Point
55.788981,37.613135,,Point
55.868627,37.60434,,Point
55.63439,37.797065,,Point
55.730177,37.592446,,Point
55.730177,37.592446,,Point
55.730177,37.592446,,Point
55.991893,37.214382,,Point
55.739392,37.819397,,Point
55.739392,37.819397,,Point
55.649647,37.405408,,Point
55.989119,37.235465,,Point
55.989119,37.235465,,Point
55.826483,37.601367,,Point
55.826483,37.601367,,Point
55.827312,37.601241,,Point
55.86602,37.650253,,Point
55.762637,37.64418,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.780264,37.827212,,Point
55.63439,37.797065,,Point
55.491171,37.580652,,Point
55.719156,37.804431,,Point
55.653863,37.600612,,Point
55.71089,37.737569,,Point
55.794831,37.698052,,Point
55.794831,37.698052,,Point
55.794831,37.698052,,Point
55.686234,37.533328,,Point
55.656006,37.587119,,Point
55.656006,37.587119,,Point
55.656006,37.587119,,Point
55.656006,37.587119,,Point
55.596035,37.611769,,Point
55.757916,37.82016,,Point
55.872329,37.604044,,Point
55.591793,37.454861,,Point
55.591793,37.454861,,Point
55.591793,37.454861,,Point
55.814578,37.790022,,Point
55.814578,37.790022,,Point
55.814578,37.790022,,Point
55.654493,37.384963,,Point
55.654493,37.384963,,Point
55.654493,37.384963,,Point
55.654493,37.384963,,Point
55.654493,37.384963,,Point
55.654493,37.384963,,Point
55.822281,37.494377,,Point
55.701227,37.687641,,Point
55.78649,37.450683,,Point
55.61448,37.591135,,Point
55.61448,37.591135,,Point
55.989663,37.230713,,Point
55.989663,37.230713,,Point
55.989663,37.230713,,Point
55.989663,37.230713,,Point
55.989663,37.230713,,Point
55.670524,37.512254,,Point
55.881116,37.554017,,Point
55.804304,37.463682,,Point
55.852895,37.44082,,Point
55.880228,37.716306,,Point
55.713131,37.411131,,Point
55.713131,37.411131,,Point
55.713131,37.411131,,Point
55.713131,37.411131,,Point
55.713131,37.411131,,Point
55.713131,37.411131,,Point
55.750859,37.415299,,Point
55.683072,37.546579,,Point
55.717741,37.42288,,Point
55.748539,37.70337,,Point
55.748539,37.70337,,Point
55.503553,37.599795,,Point
55.719693,37.817951,,Point
55.801394,37.832027,,Point
55.801394,37.832027,,Point
55.801394,37.832027,,Point
55.801394,37.832027,,Point
55.817021,37.826215,,Point
55.799892,37.480139,,Point
55.651257,37.698016,,Point
55.875339,37.689545,,Point
55.858402,37.586356,,Point
55.845805,37.520536,,Point
55.701227,37.687641,,Point
55.701227,37.687641,,Point
55.888442,37.669531,,Point
55.888442,37.669531,,Point
55.661516,37.587658,,Point
55.667213,37.513008,,Point
55.667213,37.513008,,Point
55.766567,37.487029,,Point
55.869885,37.485215,,Point
55.87644,37.674777,,Point
55.836777,37.530238,,Point
55.836777,37.530238,,Point
55.836777,37.530238,,Point
55.836777,37.530238,,Point
55.645182,37.721355,,Point
55.645182,37.721355,,Point
55.645182,37.721355,,Point
55.497964,37.304626,,Point
55.497964,37.304626,,Point
55.807607,37.776808,,Point
55.674062,37.530535,,Point
55.692912,37.504897,,Point
55.901813,37.574705,,Point
55.901813,37.574705,,Point
55.901813,37.574705,,Point
55.643292,37.510826,,Point
55.642138,37.504888,,Point
55.750459,37.593938,,Point
55.750459,37.593938,,Point
55.750459,37.593938,,Point
55.608668,38.078633,,Point
55.807542,37.706658,,Point
55.71803,37.521201,,Point
55.71803,37.521201,,Point
55.800787,37.785989,,Point
55.703748,37.820538,,Point
55.903973,37.591297,,Point
55.890633,37.58879,,Point
55.641671,37.655616,,Point
55.870077,37.712318,,Point
55.831853,37.349677,,Point
55.831853,37.349677,,Point
55.831853,37.349677,,Point
55.669249,37.861402,,Point
55.792893,37.818481,,Point
55.6637,37.514769,,Point
55.6637,37.514769,,Point
55.69247,37.551726,,Point
55.69247,37.551726,,Point
55.69247,37.551726,,Point
55.683229,37.66821,,Point
55.683229,37.66821,,Point
55.683229,37.66821,,Point
55.666767,37.620366,,Point
55.724165,37.411732,,Point
55.51432,37.565883,,Point
55.51432,37.565883,,Point
55.675753,37.604044,,Point
55.675753,37.604044,,Point
55.892294,37.653514,,Point
55.892294,37.653514,,Point
55.809226,37.828452,,Point
55.809226,37.828452,,Point
55.809226,37.828452,,Point
55.757946,37.416781,,Point
55.984496,37.162378,,Point
55.877198,37.512425,,Point
55.877198,37.512425,,Point
55.877198,37.512425,,Point
55.877198,37.512425,,Point
55.877198,37.512425,,Point
55.790722,37.58932,,Point
55.747753,37.421928,,Point
55.654162,37.402668,,Point
55.654162,37.402668,,Point
55.76253,37.717447,,Point
55.76253,37.717447,,Point
55.67826,37.537191,,Point
55.864631,37.557035,,Point
55.726659,37.77732,,Point
55.89607,37.612739,,Point
55.877183,37.652481,,Point
55.797594,37.505157,,Point
55.797594,37.505157,,Point
55.797594,37.505157,,Point
55.797594,37.505157,,Point
55.797594,37.505157,,Point
55.797594,37.505157,,Point
55.806292,37.407205,,Point
55.71411,37.735027,,Point
55.869016,37.555274,,Point
55.776613,37.474022,,Point
55.968428,37.28171,,Point
55.968086,37.280462,,Point
55.50314,37.943697,,Point
55.816343,37.719405,,Point
55.758858,37.807503,,Point
55.873829,37.645249,,Point
55.712158,37.609901,,Point
55.617612,37.730446,,Point
55.617612,37.730446,,Point
55.617612,37.730446,,Point
55.840619,37.440766,,Point
55.840619,37.440766,,Point
55.840619,37.440766,,Point
55.827307,37.568803,,Point
55.808994,37.619306,,Point
55.764734,37.833887,,Point
55.594056,37.598115,,Point
55.594056,37.598115,,Point
55.98508,37.158722,,Point
55.98508,37.158722,,Point
55.697559,37.77961,,Point
55.695809,37.573357,,Point
55.695809,37.573357,,Point
55.743654,37.790372,,Point
55.824314,37.76539,,Point
55.612411,37.597172,,Point
55.612411,37.597172,,Point
55.631915,37.801305,,Point
55.631727,37.794621,,Point
55.828258,37.527408,,Point
55.772416,37.4743,,Point
55.801485,37.573223,,Point
55.632261,37.450216,,Point
55.705113,37.742995,,Point
55.705113,37.742995,,Point
55.850995,37.410187,,Point
55.850995,37.410187,,Point
55.850995,37.410187,,Point
55.735201,37.494647,,Point
55.659683,37.778515,,Point
55.601503,37.343254,,Point
55.601503,37.343254,,Point
55.601503,37.343254,,Point
55.667538,37.630077,,Point
55.667538,37.630077,,Point
55.607534,37.612623,,Point
55.607534,37.612623,,Point
55.607534,37.612623,,Point
55.607534,37.612623,,Point
55.584792,37.651592,,Point
55.584792,37.651592,,Point
55.703895,37.843014,,Point
55.739625,37.873961,,Point
55.6322,37.795888,,Point
55.849226,37.358256,,Point
55.633536,37.760845,,Point
55.517271,37.353522,,Point
55.695225,37.742106,,Point
55.503859,37.332663,,Point
55.503859,37.332663,,Point
55.503859,37.332663,,Point
55.760439,37.543497,,Point
55.644476,37.328009,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.86552,37.624651,,Point
55.759714,37.578846,,Point
55.759714,37.578846,,Point
55.730948,37.64401,,Point
55.730948,37.64401,,Point
55.674082,37.660072,,Point
55.562938,37.582152,,Point
55.740563,37.861878,,Point
55.740563,37.861878,,Point
55.590938,37.613233,,Point
55.630451,37.795017,,Point
55.630451,37.795017,,Point
55.630451,37.795017,,Point
55.677682,37.543722,,Point
55.622395,37.488179,,Point
55.622395,37.488179,,Point
55.804324,37.469207,,Point
55.699842,37.781793,,Point
55.699842,37.781793,,Point
55.699842,37.781793,,Point
55.776132,37.154877,,Point
55.639344,37.342948,,Point
55.73704,37.852563,,Point
55.864217,37.682152,,Point
55.864217,37.682152,,Point
55.53993,37.577139,,Point
55.886064,37.535287,,Point
55.886064,37.535287,,Point
55.886064,37.535287,,Point
55.752242,37.560547,,Point
55.752242,37.560547,,Point
55.752242,37.560547,,Point
55.648915,37.348778,,Point
55.62912,37.794523,,Point
55.813587,37.46061,,Point
55.55059,37.56485,,Point
55.755581,37.788674,,Point
55.712097,37.730679,,Point
55.798839,37.467823,,Point
55.907551,37.573618,,Point
55.931971,37.54975,,Point
55.847341,37.488206,,Point
55.707152,37.658877,,Point
55.676585,37.634092,,Point
55.795641,37.386921,,Point
55.868369,37.662282,,Point
55.988419,37.172637,,Point
55.796228,37.786303,,Point
55.548772,37.549696,,Point
55.67524,37.52792,,Point
55.679138,37.662425,,Point
55.679138,37.662425,,Point
55.679138,37.662425,,Point
55.679138,37.662425,,Point
55.679138,37.662425,,Point
55.672458,37.659775,,Point
55.672458,37.659775,,Point
55.672458,37.659775,,Point
55.672458,37.659775,,Point
55.672458,37.659775,,Point
55.769884,37.72899,,Point
55.769884,37.72899,,Point
55.769884,37.72899,,Point
55.769884,37.72899,,Point
55.769884,37.72899,,Point
55.667086,37.496767,,Point
55.667086,37.496767,,Point
55.667086,37.496767,,Point
55.776765,37.4902,,Point
55.776765,37.4902,,Point
55.776765,37.4902,,Point
55.775373,37.492751,,Point
55.775373,37.492751,,Point
55.775373,37.492751,,Point
55.775373,37.492751,,Point
55.777758,37.457987,,Point
55.777758,37.457987,,Point
55.777758,37.457987,,Point
55.826104,37.647846,,Point
55.826104,37.647846,,Point
55.826104,37.647846,,Point
55.82978,37.490371,,Point
55.82978,37.490371,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.704996,37.922335,,Point
55.79891,37.799823,,Point
55.899875,37.393371,,Point
55.667767,37.649202,,Point
55.672763,37.601466,,Point
55.672763,37.601466,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.853734,37.349695,,Point
55.667198,37.643588,,Point
55.772887,37.478765,,Point
55.772887,37.478765,,Point
55.890689,37.386831,,Point
55.890689,37.386831,,Point
55.516379,37.347368,,Point
55.842565,37.379186,,Point
55.842565,37.379186,,Point
55.696052,37.575361,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
55.85772,37.34938,,Point
